"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26"
"14" 31.4 30.7 30.9 27.6 28.1 30.9 30.1 33.8 28.4 33 28.6 33.8 26.9 27.1 28.7 24.8 32.8 34.2 28.3 29.4 29.3 29.9 32.8 26.5 31.3 29.7
"15" 29.7 33.8 30.1 28.7 28.6 26.5 32.8 28.3 29.9 33 31.3 27.1 34.2 30.9 33.8 32.8 31.4 28.4 24.8 28.1 30.7 29.3 26.9 30.9 27.6 29.4
"16" 29.9 32.8 29.4 28.1 29.7 33.8 31.3 30.9 27.6 31.4 28.4 27.1 32.8 33.8 30.7 30.9 26.9 24.8 30.1 28.7 28.3 26.5 34.2 28.6 33 29.3
"17" 26.5 26.9 28.3 33.8 27.1 27.6 32.8 33 29.3 31.4 29.4 30.1 30.7 28.6 30.9 30.9 32.8 28.4 28.7 31.3 29.9 28.1 34.2 24.8 33.8 29.7
"18" 33.8 27.1 29.7 31.4 33.8 28.3 32.8 29.9 27.6 32.8 31.3 30.9 30.7 28.7 26.9 28.6 29.3 28.1 29.4 24.8 28.4 30.9 30.1 34.2 26.5 33
"19" 28.1 28.4 34.2 32.8 26.9 33 31.4 24.8 28.3 26.5 29.7 31.3 30.7 29.3 32.8 27.1 28.6 27.6 30.9 29.9 30.9 33.8 30.1 33.8 29.4 28.7
"20" 26.5 30.9 30.9 34.2 29.3 33 30.1 29.7 28.6 28.7 24.8 32.8 27.1 28.4 33.8 26.9 30.7 31.3 29.4 33.8 31.4 28.1 29.9 27.6 32.8 28.3
"21" 27.6 30.1 29.3 31.3 28.1 29.9 28.6 24.8 31.4 29.4 28.3 34.2 28.4 33.8 30.9 33 30.7 30.9 29.7 26.5 33.8 28.7 32.8 32.8 26.9 27.1
"22" 29.3 30.1 26.9 28.4 30.9 29.7 29.4 27.6 33 34.2 28.7 33.8 33.8 32.8 28.6 28.1 30.9 31.4 30.7 31.3 26.5 28.3 27.1 29.9 24.8 32.8
"23" 33 30.7 31.3 29.4 33.8 28.1 33.8 28.4 29.7 30.9 30.9 29.9 28.7 26.5 28.3 28.6 32.8 27.6 31.4 30.1 32.8 27.1 34.2 29.3 24.8 26.9
"24" 30.9 30.1 26.9 32.8 28.6 33.8 30.9 33 28.1 27.1 30.7 29.4 27.6 28.7 28.3 31.4 24.8 28.4 33.8 29.9 29.7 31.3 29.3 26.5 32.8 34.2
"25" 33 30.9 26.9 32.8 29.4 28.6 29.9 32.8 31.3 27.6 28.1 27.1 34.2 31.4 26.5 24.8 29.3 29.7 30.9 33.8 28.7 33.8 30.1 30.7 28.4 28.3
"26" 31.3 28.1 30.1 33 27.1 28.7 33.8 30.9 29.9 29.4 32.8 31.4 26.5 32.8 30.9 24.8 28.4 29.7 28.3 26.9 33.8 28.6 29.3 34.2 27.6 30.7
"27" 24.8 30.9 26.9 30.7 29.7 29.9 29.3 28.7 29.4 28.3 30.9 33.8 34.2 28.4 31.3 28.6 28.1 33 31.4 27.1 30.1 32.8 32.8 27.6 33.8 26.5
"28" 31.6 32.5 28.7 30.5 32.9 29.8 28.2 31.8 31.9 33.7 29.5 30.6 29.5 33.8 30.9 32.4 32.4 34.9 33.1 33.6 32.1 29.8 29.6 31.9 31.5 31
"29" 30.5 31 32.5 29.8 32.9 31.8 30.9 29.6 33.1 33.6 32.1 33.8 34.9 31.9 29.8 28.2 29.5 31.5 33.7 32.4 31.6 29.5 30.6 28.7 32.4 31.9
"30" 33.8 31.9 33.7 29.8 32.1 30.9 29.5 32.9 31.8 33.6 33.1 32.5 28.2 28.7 31.6 32.4 31 34.9 29.5 32.4 31.9 31.5 30.6 29.6 29.8 30.5
"31" 30.5 30.6 28.2 31 33.7 33.1 31.8 31.6 32.9 29.8 29.6 32.4 29.8 31.9 31.5 29.5 29.5 32.1 34.9 33.6 33.8 28.7 31.9 32.4 30.9 32.5
"32" 32.4 30.5 29.8 33.8 28.7 32.1 32.9 34.9 31.8 30.9 33.1 31.9 33.6 31.9 29.5 31.5 29.5 31.6 33.7 32.5 29.8 30.6 28.2 32.4 29.6 31
"33" 33.7 29.6 30.5 29.5 31.9 31.5 32.4 32.5 34.9 30.6 33.6 28.2 28.7 29.5 29.8 29.8 31.8 31.6 33.8 32.1 32.4 31.9 30.9 32.9 33.1 31
"34" 28.2 30.6 33.8 33.6 29.6 31.8 30.9 31 30.5 32.5 33.1 31.9 31.6 29.8 32.9 29.8 32.4 34.9 29.5 31.9 31.5 29.5 28.7 33.7 32.1 32.4
"35" 31.6 29.6 31.9 28.7 29.8 34.9 28.2 32.4 31.8 33.7 30.5 29.8 31.5 29.5 30.6 33.6 33.1 29.5 33.8 30.9 32.5 32.9 31 32.4 31.9 32.1
"36" 29.8 30.5 33.7 29.6 32.1 28.7 34.9 29.5 31 29.8 32.9 32.4 33.1 31.9 31.8 31.6 30.9 32.5 31.9 33.8 30.6 32.4 31.5 28.2 33.6 29.5
"37" 29.5 31 31.8 29.6 28.2 33.8 31.5 33.1 29.8 28.7 32.4 32.5 34.9 29.8 30.6 33.6 30.5 31.6 32.4 33.7 31.9 31.9 32.1 32.9 30.9 29.5
"38" 32.9 30.9 34.9 32.1 29.8 31.9 29.6 28.2 32.5 31 32.4 31.5 31.8 33.8 32.4 33.1 28.7 29.8 29.5 30.5 30.6 31.9 31.6 33.7 29.5 33.6
"39" 31.6 30.9 29.5 32.5 33.6 30.6 29.5 31.8 28.2 30.5 29.6 29.8 32.4 31.9 33.7 31.9 28.7 32.1 31.5 31 32.4 34.9 29.8 32.9 33.1 33.8
"40" 28.7 30.5 32.4 29.5 30.9 31.5 32.1 33.8 33.7 31.6 33.1 29.8 32.5 32.9 32.4 28.2 29.8 31.8 31.9 30.6 29.5 29.6 31 33.6 34.9 31.9
"41" 32.4 29.8 34.9 33.7 29.6 32.5 31.6 29.5 32.4 31.9 30.9 29.5 32.1 30.6 31.8 33.8 32.9 30.5 31.9 33.1 29.8 33.6 28.7 31.5 28.2 31
"42" 29.6 31.9 31.8 29.8 28.2 29.5 33.1 33.6 33.8 31.9 32.4 29.5 28.7 30.9 32.9 32.5 30.5 31 30.6 34.9 33.7 31.5 32.4 31.6 32.1 29.8
"43" 28.2 32.4 31.5 31.6 29.8 32.5 32.9 29.5 34.9 31.9 32.1 31 31.9 30.6 33.6 29.8 29.6 33.7 30.5 29.5 33.1 32.4 31.8 33.8 30.9 28.7
"44" 29.6 30.6 30.5 32.1 32.5 31.9 28.2 32.4 28.7 30.9 34.9 32.4 33.8 31.8 29.5 31.6 33.6 29.8 32.9 31 29.8 31.9 33.7 33.1 29.5 31.5
"45" 33.7 28.7 32.1 33.8 31 31.8 31.5 29.6 28.2 29.5 29.8 29.5 32.5 31.9 31.6 33.6 31.9 30.6 32.9 29.8 32.4 34.9 30.5 32.4 33.1 30.9
"46" 29.5 32.4 28.7 29.5 33.1 29.8 33.6 29.8 31 34.9 31.6 33.8 30.5 31.9 33.7 31.5 28.2 31.8 30.9 29.6 30.6 32.1 32.5 31.9 32.4 32.9
"47" 31.9 33.1 32.1 31.9 31.8 28.2 30.9 28.7 32.4 29.5 29.8 30.6 32.4 34.9 32.9 29.5 29.6 32.5 33.6 31.5 33.8 31.6 33.7 29.8 30.5 31
"48" 32.4 28.7 31.5 32.5 33.8 30.9 30.6 32.9 29.6 30.5 33.7 29.5 29.5 31.6 33.6 34.9 29.8 33.1 31 28.2 31.9 31.8 32.1 32.4 29.8 31.9
"49" 29.5 33.8 28.2 33.6 30.9 34.9 32.4 31.6 29.5 30.5 32.5 29.8 28.7 29.6 32.9 31.5 31.9 30.6 32.1 33.1 31 31.8 29.8 31.9 32.4 33.7
"50" 28.2 31 31.9 31.6 32.9 33.7 29.6 32.1 30.6 33.1 33.8 33.6 30.5 31.8 28.7 32.4 31.9 32.5 29.5 31.5 32.4 29.8 29.5 29.8 30.9 34.9
"51" 29.5 33.1 30.6 32.5 32.4 33.8 28.2 34.9 31 31.9 31.5 29.8 32.1 29.6 30.5 29.5 30.9 32.9 31.6 28.7 32.4 33.6 29.8 31.9 31.8 33.7
"52" 31 28.7 33.1 33.7 32.9 30.9 29.8 31.9 33.6 34.9 28.2 32.4 32.5 30.5 31.8 33.8 32.1 31.9 30.6 29.6 29.5 31.5 32.4 31.6 29.8 29.5
"53" 31.8 32.4 29.8 33.7 30.6 32.1 32.5 31 28.7 32.9 32.4 29.5 31.9 31.5 33.8 29.5 29.6 33.1 33.6 31.9 31.6 34.9 28.2 30.9 29.8 30.5
"54" 28.7 32.5 33.6 31.9 30.9 33.1 29.8 31.6 30.5 31.5 32.1 33.7 28.2 29.5 31.8 29.6 32.9 29.8 33.8 34.9 31 29.5 32.4 30.6 31.9 32.4
"55" 30.9 31.6 31.8 32.4 31.9 28.7 30.5 29.5 31 34.9 30.6 29.8 32.5 31.9 28.2 29.8 29.5 31.5 32.1 33.1 33.6 33.8 32.9 33.7 32.4 29.6
"56" 31.8 27.4 26.8 39.2 30 39.5 24.4 29.2 19.8 29.3 29.6 23.9 30.7 28.2 13.8 29.6 34.7 24.8 30.8 25.2 21.1 23.3 20.3 22.9 21 19
"57" 24.8 19.8 21.1 30.7 29.6 22.9 31.8 23.9 39.5 30.8 13.8 27.4 39.2 29.2 24.4 29.3 25.2 34.7 20.3 29.6 19 23.3 28.2 21 26.8 30
"58" 20.3 34.7 30.7 39.5 28.2 19.8 26.8 29.6 39.2 24.8 24.4 23.3 21.1 23.9 30.8 29.6 19 25.2 13.8 27.4 31.8 22.9 29.3 30 21 29.2
"59" 39.5 23.9 23.3 25.2 24.8 28.2 19.8 13.8 30.8 22.9 29.2 20.3 21 39.2 31.8 24.4 29.3 29.6 27.4 21.1 26.8 30.7 30 34.7 29.6 19
"60" 19.8 29.2 22.9 26.8 24.4 13.8 21.1 21 30 30.8 39.5 30.7 29.6 23.9 19 28.2 27.4 31.8 24.8 23.3 29.6 34.7 29.3 20.3 25.2 39.2
"61" 20.3 23.3 29.6 30 19.8 21.1 31.8 27.4 34.7 22.9 28.2 30.7 26.8 39.2 29.6 24.4 29.2 25.2 13.8 39.5 23.9 24.8 29.3 30.8 19 21
"62" 13.8 25.2 24.8 30.7 34.7 29.6 19.8 31.8 19 23.3 23.9 21.1 39.2 29.6 20.3 26.8 21 29.3 30 24.4 22.9 39.5 30.8 29.2 27.4 28.2
"63" 29.2 23.3 39.2 29.3 27.4 24.4 24.8 21 29.6 26.8 29.6 19 23.9 13.8 20.3 30.8 25.2 31.8 19.8 28.2 30 30.7 22.9 39.5 21.1 34.7
"64" 31.8 39.5 30 25.2 28.2 30.8 29.2 19.8 20.3 23.9 21.1 34.7 29.6 24.4 19 30.7 24.8 22.9 29.3 26.8 13.8 21 39.2 29.6 23.3 27.4
"65" 23.3 29.2 31.8 29.6 27.4 22.9 21.1 26.8 39.2 29.3 34.7 23.9 30.8 30.7 39.5 24.8 24.4 19.8 20.3 28.2 21 13.8 30 29.6 25.2 19
"66" 39.2 20.3 25.2 30.8 29.2 24.4 27.4 30.7 13.8 21.1 34.7 21 28.2 30 19.8 23.3 22.9 23.9 39.5 29.6 31.8 29.3 29.6 26.8 19 24.8
"67" 31.8 39.5 21.1 29.6 30.7 26.8 22.9 29.2 19.8 19 25.2 30.8 30 24.8 20.3 34.7 28.2 27.4 29.6 13.8 23.9 24.4 39.2 21 29.3 23.3
"68" 19.8 20.3 23.9 25.2 34.7 30.7 39.5 23.3 24.8 30 28.2 24.4 21 30.8 13.8 22.9 29.6 31.8 26.8 29.6 19 29.3 39.2 21.1 27.4 29.2
"69" 25.2 23.3 30 39.2 21.1 21 19.8 29.6 23.9 20.3 30.7 26.8 27.4 24.4 30.8 28.2 19 34.7 22.9 29.2 29.3 24.8 13.8 31.8 39.5 29.6
"70" 19 31.8 13.8 24.8 39.5 29.6 21 23.9 19.8 24.4 26.8 25.2 28.2 21.1 30.7 29.2 39.2 23.3 20.3 34.7 30 22.9 29.6 29.3 27.4 30.8
"71" 34.7 13.8 27.4 28.2 20.3 19.8 39.2 30.8 29.6 39.5 26.8 25.2 21.1 30.7 23.3 19 31.8 24.4 23.9 30 29.3 29.6 24.8 21 22.9 29.2
"72" 23.9 26.8 21 39.5 13.8 29.6 28.2 29.6 30 23.3 19 29.2 30.7 29.3 31.8 24.4 19.8 25.2 30.8 20.3 39.2 27.4 21.1 22.9 24.8 34.7
"73" 29.2 30 29.6 29.6 24.4 27.4 30.8 29.3 31.8 19 13.8 20.3 39.2 21 34.7 39.5 24.8 21.1 23.9 26.8 23.3 25.2 19.8 28.2 30.7 22.9
"74" 30.8 39.2 23.9 20.3 21.1 39.5 27.4 28.2 29.3 21 30 19.8 24.4 19 34.7 30.7 22.9 29.2 13.8 23.3 29.6 26.8 31.8 25.2 24.8 29.6
"75" 26.8 24.8 31.8 27.4 23.9 34.7 24.4 19.8 22.9 21.1 25.2 29.3 39.5 29.2 30.7 28.2 30.8 39.2 21 13.8 29.6 23.3 19 29.6 20.3 30
"76" 24.4 39.2 30.8 20.3 23.3 29.6 30 39.5 13.8 29.3 19.8 31.8 30.7 21.1 34.7 25.2 29.6 22.9 23.9 21 29.2 24.8 27.4 28.2 19 26.8
"77" 29.2 24.4 26.8 13.8 39.2 19.8 20.3 30 29.6 29.6 19 27.4 22.9 30.7 31.8 21 23.9 25.2 39.5 29.3 23.3 24.8 30.8 28.2 21.1 34.7
"78" 31.8 29.2 24.8 25.2 19.8 22.9 30 21.1 29.3 30.8 27.4 20.3 29.6 21 23.9 39.5 24.4 23.3 28.2 30.7 13.8 29.6 34.7 19 26.8 39.2
"79" 24.4 30.7 28.2 20.3 39.2 19.8 29.6 22.9 23.3 21.1 29.6 27.4 29.3 31.8 23.9 19 25.2 24.8 30 34.7 26.8 39.5 30.8 13.8 21 29.2
"80" 39.5 31.8 29.3 30.8 29.6 26.8 19.8 21.1 23.3 23.9 24.8 30 29.2 22.9 19 34.7 20.3 25.2 27.4 39.2 29.6 30.7 13.8 24.4 28.2 21
"81" 24.4 25.2 34.7 23.3 20.3 39.5 30.8 29.6 22.9 21 27.4 26.8 29.3 19 23.9 13.8 28.2 29.6 30 30.7 19.8 39.2 29.2 21.1 24.8 31.8
"82" 26.8 23.3 19 24.8 34.7 39.2 27.4 20.3 31.8 30 23.9 30.7 29.6 21 39.5 28.2 19.8 21.1 29.6 25.2 30.8 29.2 29.3 24.4 22.9 13.8
"83" 31.8 28.2 13.8 26.8 29.3 29.6 25.2 30 30.7 24.4 24.8 23.9 39.5 22.9 21.1 23.3 29.6 29.2 30.8 34.7 19 20.3 21 39.2 19.8 27.4
