"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"12" 28.5 30 26.8 27.2 29.9 26.7 29.3 31.1 27.7 27.1 28.1 26 31.8 27.7 28.2 25.5 24.9 29.3 31.6 24.1 27.4 28.5 30.2
"13" 26.7 30.2 28.2 26.8 29.3 28.5 24.9 27.4 31.8 29.3 27.7 31.1 28.1 31.6 28.5 29.9 27.1 27.2 27.7 30 25.5 26 24.1
"14" 27.7 30.2 25.5 31.1 28.2 28.1 26.8 27.2 26.7 30 27.4 27.1 28.5 26 29.3 31.8 27.7 28.5 24.1 29.9 24.9 29.3 31.6
"15" 24.9 31.6 29.9 31.8 29.3 24.1 28.5 31.1 30.2 27.1 27.7 26.7 30 28.2 28.1 27.4 26 29.3 27.7 25.5 27.2 26.8 28.5
"16" 27.7 29.9 28.5 31.8 28.2 31.1 27.7 24.1 26.7 31.6 26.8 27.4 29.3 27.1 25.5 30.2 26 28.1 28.5 27.2 30 24.9 29.3
"17" 29.3 30 31.6 31.8 26 28.5 27.2 25.5 29.3 28.2 27.7 24.1 27.1 30.2 28.5 27.4 26.7 31.1 24.9 26.8 28.1 29.9 27.7
"18" 24.1 30.2 28.1 27.7 31.6 28.5 29.3 26.7 28.2 27.2 28.5 31.8 24.9 27.7 26.8 25.5 29.9 27.4 30 31.1 29.3 27.1 26
"19" 27.7 31.8 27.1 27.2 26 30.2 25.5 24.9 27.7 26.8 27.4 24.1 31.1 29.3 31.6 30 28.2 28.1 26.7 29.9 28.5 29.3 28.5
"20" 30 31.8 28.1 26.7 24.9 29.3 26 29.9 27.4 28.2 25.5 27.7 26.8 29.3 27.7 24.1 28.5 27.2 27.1 28.5 31.1 31.6 30.2
"21" 24.9 26 28.1 29.3 30 27.7 24.1 27.4 28.5 27.1 31.8 30.2 29.9 25.5 27.2 31.6 28.2 29.3 31.1 28.5 26.8 27.7 26.7
"22" 28.2 27.7 27.4 27.7 29.3 31.1 28.5 29.3 27.2 25.5 30 31.6 31.8 27.1 26.7 26.8 28.1 30.2 24.9 29.9 24.1 26 28.5
"23" 28.2 28.5 26.8 31.1 29.3 29.9 28.5 25.5 26.7 28.1 24.9 30.2 24.1 29.3 31.8 27.7 26 31.6 27.4 27.2 30 27.7 27.1
"24" 29.3 27.4 26.8 28.1 31.1 27.2 31.6 27.1 25.5 24.1 28.2 28.5 26.7 27.7 30 24.9 30.2 29.9 31.8 29.3 26 27.7 28.5
"25" 27.1 26 28.2 26.8 25.5 24.9 31.1 27.4 29.3 28.1 28.5 29.3 29.9 27.7 28.5 24.1 31.8 26.7 27.2 27.7 30 30.2 31.6
"26" 25.5 26 24.9 28.5 24.1 30.2 28.1 27.7 26.8 31.8 31.6 29.3 29.9 28.5 27.4 28.2 27.7 31.1 26.7 27.1 27.2 30 29.3
"27" 27.7 31.6 28.5 28.2 31.1 30.2 29.3 30 26 27.1 27.7 26.8 27.2 25.5 29.9 29.3 24.1 28.5 31.8 28.1 26.7 27.4 24.9
"28" 36.5 29.6 31.7 31.9 30.1 32 29.6 30.7 28.8 27.2 28.5 30.2 30 31.4 24.9 35 33.7 27.9 33.6 33.2 36.8 29.7 28.7
"29" 27.2 33.6 35 31.9 30.1 27.9 30.7 29.6 29.6 28.8 32 30.2 31.4 24.9 36.8 28.5 33.2 29.7 31.7 33.7 30 28.7 36.5
"30" 29.7 33.6 28.7 30.7 28.5 35 30.2 32 30 29.6 27.9 31.9 33.2 31.4 36.8 36.5 31.7 30.1 29.6 27.2 24.9 28.8 33.7
"31" 33.7 36.8 28.8 30 31.9 32 29.6 30.7 27.2 35 33.2 30.1 29.7 29.6 31.4 36.5 33.6 24.9 28.7 30.2 27.9 31.7 28.5
"32" 24.9 35 36.5 30.2 29.6 33.6 36.8 29.6 30.1 27.2 30 28.7 30.7 31.9 27.9 28.8 33.7 31.7 33.2 31.4 28.5 32 29.7
"33" 28.7 31.4 24.9 33.2 27.9 30 28.8 30.7 29.6 36.5 36.8 33.7 31.7 29.6 27.2 28.5 33.6 32 30.2 31.9 35 29.7 30.1
"34" 36.5 33.7 29.6 31.4 28.8 33.6 27.9 30 27.2 32 24.9 31.9 33.2 31.7 28.7 30.1 29.6 30.7 29.7 35 28.5 36.8 30.2
"35" 27.2 36.8 30.1 30.2 32 29.6 35 29.6 33.2 36.5 28.7 29.7 31.9 28.5 30.7 33.6 33.7 24.9 30 28.8 27.9 31.7 31.4
"36" 28.7 30 33.6 36.8 29.6 32 28.8 27.9 30.2 33.2 30.1 24.9 35 36.5 29.7 31.7 27.2 28.5 30.7 29.6 33.7 31.9 31.4
"37" 32 30.2 28.8 29.6 24.9 28.5 33.7 29.6 33.2 31.4 30.1 29.7 36.8 35 30.7 31.7 30 31.9 27.9 33.6 36.5 28.7 27.2
"38" 30.1 33.6 33.2 30 31.4 28.7 24.9 29.7 31.7 27.2 30.2 29.6 36.8 33.7 35 27.9 31.9 32 36.5 28.5 30.7 28.8 29.6
"39" 31.9 35 32 29.6 36.8 28.5 28.7 27.9 31.7 29.7 30 27.2 30.2 24.9 33.6 28.8 31.4 30.7 30.1 33.2 36.5 29.6 33.7
"40" 28.7 36.5 24.9 30.7 31.7 31.4 30 33.7 35 29.6 36.8 33.6 32 28.8 29.6 33.2 31.9 27.2 27.9 30.2 29.7 30.1 28.5
"41" 29.6 30.2 24.9 27.2 28.5 31.9 36.8 28.8 33.2 33.7 31.7 30 33.6 31.4 27.9 30.7 36.5 35 32 30.1 29.6 28.7 29.7
"42" 30.1 31.4 33.6 29.6 30.7 28.5 36.8 30.2 31.7 27.9 31.9 35 24.9 28.7 36.5 30 27.2 33.7 29.6 28.8 32 33.2 29.7
"43" 28.8 28.5 33.7 31.7 29.6 29.7 31.9 28.7 30.7 27.9 36.8 36.5 33.6 30 35 24.9 33.2 27.2 29.6 30.2 31.4 32 30.1
"44" 35 30.1 31.9 29.6 29.7 30 33.6 27.9 27.2 30.2 24.9 36.8 31.7 33.7 32 36.5 28.5 30.7 28.8 33.2 29.6 28.7 31.4
"45" 29.7 30.2 33.6 30 31.9 24.9 27.9 29.6 33.7 30.1 27.2 36.5 32 36.8 33.2 28.5 28.7 35 28.8 31.4 30.7 31.7 29.6
"46" 30.7 24.9 29.6 33.6 27.2 28.7 33.7 29.7 36.5 31.4 30 32 31.9 36.8 27.9 28.8 33.2 28.5 29.6 30.1 30.2 31.7 35
"47" 24.9 28.7 30.7 30.2 29.6 31.9 28.8 29.7 28.5 27.9 33.6 29.6 35 30 36.8 31.7 31.4 30.1 32 36.5 33.2 33.7 27.2
"48" 29.7 30.7 24.9 33.6 28.5 33.2 32 31.4 35 30 29.6 33.7 31.7 30.2 36.5 30.1 28.8 28.7 29.6 31.9 27.9 36.8 27.2
"49" 28.7 31.9 27.9 30.7 29.6 30 28.8 35 31.4 29.6 27.2 31.7 36.8 36.5 28.5 33.2 30.1 33.6 33.7 32 24.9 30.2 29.7
"50" 31.9 30.7 33.2 28.7 27.2 27.9 35 31.4 33.6 30.1 30 36.5 31.7 24.9 29.6 28.5 29.7 33.7 30.2 32 28.8 29.6 36.8
"51" 29.6 31.9 31.7 24.9 36.8 27.2 29.7 30.1 29.6 32 30.7 28.7 33.2 30 28.8 35 31.4 33.6 30.2 36.5 33.7 28.5 27.9
"52" 30.1 29.6 28.8 33.7 27.9 29.7 28.7 35 36.8 28.5 31.9 30.2 33.6 29.6 30 27.2 24.9 30.7 33.2 31.4 31.7 32 36.5
"53" 36.8 31.7 31.4 31.9 29.6 35 27.2 30.7 30 27.9 29.6 28.7 29.7 33.6 36.5 28.8 28.5 32 30.1 30.2 33.7 24.9 33.2
"54" 36.5 31.9 36.8 29.6 33.7 28.8 31.7 30.1 30.7 28.7 35 29.7 31.4 33.2 27.2 28.5 33.6 29.6 24.9 30 27.9 32 30.2
"55" 33.6 31.4 27.2 30.7 28.7 28.8 31.7 29.7 30.2 33.2 32 30.1 33.7 28.5 30 35 36.5 31.9 29.6 36.8 27.9 24.9 29.6
"56" 28.3 29.7 36.9 33.9 32 29.4 29.5 28.3 34 40.8 45.3 39.1 31.9 32 33.1 34.3 51.4 28 36.1 32.3 27.8 30.5 33.6
"57" 32 31.9 28 28.3 33.9 36.9 40.8 32 34.3 33.1 32.3 45.3 29.5 51.4 30.5 34 29.4 29.7 39.1 28.3 27.8 33.6 36.1
"58" 27.8 40.8 32 36.1 39.1 33.6 34 32.3 34.3 33.1 28 31.9 51.4 28.3 32 28.3 36.9 30.5 29.4 29.5 29.7 45.3 33.9
"59" 39.1 30.5 28.3 28 34 40.8 33.6 31.9 29.5 32 29.7 36.9 32 29.4 27.8 36.1 45.3 33.1 28.3 33.9 51.4 34.3 32.3
"60" 27.8 29.7 32.3 28.3 36.1 31.9 28 32 33.1 30.5 45.3 34.3 32 36.9 34 33.6 40.8 28.3 39.1 51.4 33.9 29.5 29.4
"61" 34.3 45.3 32 28.3 51.4 33.1 34 33.6 30.5 36.9 33.9 31.9 32.3 39.1 27.8 28.3 29.5 36.1 28 29.7 40.8 32 29.4
"62" 32 34 30.5 39.1 32 29.7 29.4 28.3 33.6 31.9 32.3 34.3 29.5 33.9 33.1 51.4 40.8 36.1 28.3 36.9 28 45.3 27.8
"63" 27.8 51.4 29.7 28.3 32.3 39.1 33.1 28.3 36.9 45.3 33.6 34 32 29.5 33.9 29.4 40.8 30.5 36.1 31.9 34.3 28 32
"64" 36.1 33.9 32 31.9 33.6 34.3 51.4 28.3 28.3 29.4 32 29.5 27.8 40.8 34 32.3 30.5 36.9 45.3 29.7 28 39.1 33.1
"65" 39.1 33.9 33.6 32 28.3 32 30.5 51.4 29.7 31.9 36.9 40.8 28 27.8 29.4 29.5 45.3 33.1 34.3 32.3 36.1 28.3 34
"66" 28.3 40.8 33.6 33.9 31.9 32 36.9 29.4 34.3 36.1 39.1 29.7 33.1 34 27.8 51.4 28 28.3 45.3 30.5 32 29.5 32.3
"67" 33.1 29.4 28.3 40.8 29.5 28 45.3 36.1 34.3 33.9 39.1 30.5 27.8 29.7 32 51.4 32 36.9 31.9 34 32.3 33.6 28.3
"68" 32 39.1 29.5 36.9 33.1 36.1 45.3 40.8 28 30.5 29.4 28.3 32.3 28.3 29.7 32 31.9 33.9 34.3 34 33.6 51.4 27.8
"69" 34.3 45.3 28.3 33.1 29.5 39.1 28 36.9 32.3 33.9 51.4 32 27.8 28.3 36.1 33.6 34 32 29.7 30.5 29.4 31.9 40.8
"70" 33.1 45.3 39.1 33.6 28 30.5 40.8 27.8 32 34.3 32 31.9 32.3 34 28.3 36.1 28.3 33.9 51.4 29.7 36.9 29.5 29.4
"71" 29.7 31.9 51.4 28.3 28 30.5 29.5 33.6 39.1 40.8 34.3 33.1 32 32.3 29.4 28.3 27.8 32 33.9 36.9 36.1 34 45.3
"72" 51.4 34 28 32 29.7 33.9 39.1 32 34.3 31.9 33.6 45.3 36.1 27.8 28.3 33.1 30.5 29.5 28.3 40.8 32.3 29.4 36.9
"73" 29.5 36.1 34.3 51.4 33.6 28.3 29.4 28 31.9 32 40.8 33.1 39.1 28.3 45.3 32 32.3 33.9 27.8 36.9 34 29.7 30.5
"74" 28.3 34 29.7 40.8 32 30.5 28 33.6 45.3 51.4 36.1 29.5 31.9 33.9 27.8 33.1 32 32.3 36.9 34.3 29.4 39.1 28.3
"75" 36.1 32 28.3 29.7 32.3 51.4 29.4 31.9 39.1 33.9 34.3 28 36.9 32 45.3 40.8 33.6 33.1 27.8 29.5 28.3 30.5 34
"76" 29.7 32 33.1 51.4 33.6 33.9 36.1 39.1 31.9 30.5 32 34 34.3 36.9 27.8 28 28.3 45.3 40.8 28.3 32.3 29.4 29.5
"77" 33.1 32 30.5 29.5 29.4 40.8 36.1 36.9 33.9 28 51.4 34 33.6 32.3 28.3 28.3 27.8 45.3 29.7 34.3 32 39.1 31.9
"78" 45.3 29.5 34 36.1 30.5 32 27.8 36.9 28.3 33.1 33.6 33.9 32.3 34.3 51.4 28.3 39.1 31.9 32 40.8 29.4 28 29.7
"79" 32 30.5 31.9 33.6 33.1 27.8 29.7 39.1 45.3 36.1 36.9 28.3 34 34.3 32.3 40.8 33.9 28.3 29.5 51.4 28 29.4 32
"80" 29.4 32.3 34 28.3 28 33.9 36.1 29.7 40.8 34.3 31.9 39.1 27.8 28.3 33.6 36.9 45.3 51.4 29.5 30.5 33.1 32 32
"81" 30.5 27.8 34.3 32 36.1 29.5 36.9 33.6 40.8 34 28.3 32 28 28.3 29.4 45.3 29.7 39.1 33.9 31.9 32.3 33.1 51.4
"82" 33.6 29.7 32.3 34.3 28.3 36.1 32 27.8 33.1 33.9 28.3 39.1 45.3 36.9 40.8 31.9 51.4 28 29.5 30.5 29.4 32 34
"83" 51.4 29.5 33.1 34 29.4 36.9 28.3 33.6 34.3 36.1 27.8 30.5 39.1 32 40.8 45.3 33.9 31.9 28.3 32.3 32 28 29.7
